0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5.3554403279263604e-17,-1.405396769960402e-29,-9.833206852998108e-17,6.182097013712416e-16,-1.3432621865984274e-28,-5.861977570020819e-16,1.0,2.5256379060233267e-30,2.7721038715038903e-16,7.326363908120458e-29,5.308186051889751e-29,3.305129437314633e-15,1.0829404466675006e-27,-2.8592016147626607e-28,1.434309784642684e-28,1.3251027931681256e-28,-6.933576343595271e-29,-2.4460433612430776e-29,-6.655310578394719e-29,-4.4699455988212004e-29,-4.5664188918607356e-30
6.017594305058209e-17,-1.5440043261178498e-29,-1.0433163480938517e-16,6.751636979357545e-16,-1.3985741112905715e-28,-6.039613253960843e-16,1.0,2.8038367575871e-30,2.941239140995447e-16,7.886056316378682e-29,5.638384329402551e-29,3.4052848748090238e-15,1.129992831172011e-27,-2.8627701766549536e-28,1.4358885522796297e-28,1.324472153189138e-28,-6.955839849893023e-29,-2.4481203732081495e-29,-6.653718658841277e-29,-4.480640334944877e-29,-4.4732145730543e-30
6.739326542595881e-17,-1.6880833808596876e-29,-1.1050883677272928e-16,7.355122304971082e-16,-1.452991845488911e-28,-6.217248937900867e-16,1.0,3.0926548607457957e-30,3.115382182361723e-16,8.462278654439998e-29,5.80246403809974e-29,3.5054403123034146e-15,1.1573075863105608e-27,-3.126202204483308e-28,1.8400904348661827e-28,1.2469551580838463e-28,-9.31534723690718e-29,-2.4986698972213942e-29,-6.964505333854626e-29,-2.0982170752781824e-29,5.130132819851917e-29
7.524107678545634e-17,-1.8364603279477322e-29,-1.168636744200134e-16,7.99353551539485e-16,-1.4913968311330488e-28,-6.394884621840892e-16,1.0,3.3893425114347196e-30,3.294532995602719e-16,9.047378502863388e-29,5.976938701058791e-29,3.605595749797805e-15,1.1734963418486973e-27,-2.9829411154988146e-28,1.893086175536953e-28,1.2428409283879494e-28,-1.1914898861601604e-28,-6.140727103448683e-29,-5.805804829441761e-29,1.4947283902103656e-29,6.091843642297999e-29
8.375506603397915e-17,-1.9886947704834135e-29,-1.2339614775123758e-16,8.667859135470706e-16,-1.5319195053652865e-28,-6.572520305780916e-16,1.0,3.699703253345173e-30,3.478691580718434e-16,9.641560849158088e-29,6.284025285036084e-29,3.705751187292197e-15,1.1931155522252918e-27,-3.0190200871103073e-28,1.72277727784642e-28,1.4101561349557508e-28,-1.0552787579630793e-28,-2.0581951086216191e-29,-4.1075327954342497e-29,-9.313466140625532e-30,8.136825261771816e-30
9.297190460127347e-17,-2.1438335027844747e-29,-1.3010625676640178e-16,9.379075690040449e-16,-1.5554496180238819e-28,-6.75015598972094e-16,1.0,4.024035919147872e-30,3.6678579377088697e-16,1.0247817348826888e-28,6.538310036818219e-29,3.80590662478659e-15,1.2185262567167649e-27,-2.9147018532737985e-28,2.0699637512824265e-28,1.2647607260140045e-28,-1.3900260355025716e-28,-3.833042224079389e-29,-3.921743085391267e-29,6.239256554182863e-30,-8.221281093253767e-30
1.0292924644192741e-16,-2.3008816527616025e-29,-1.36994001465506e-16,1.0128167703945898e-15,-1.5749857347807157e-28,-6.927791673660964e-16,1.0,4.359950291176969e-30,3.862032066574025e-16,1.08699568909391e-28,6.770971400463235e-29,3.906062062280983e-15,1.2523832916824447e-27,-2.9302036581099637e-28,2.065017120903904e-28,1.2429724825173542e-28,-1.3426317230687088e-28,-4.715554707756126e-29,-5.298571546959616e-29,4.72861539265953e-30,-1.177180383291843e-29
1.1366572803537087e-16,-2.4604062296860825e-29,-1.4405938184855026e-16,1.0916117702028886e-15,-1.601714761447401e-28,-7.105427357600988e-16,1.0,4.705879300676326e-30,4.0612139673138997e-16,1.1514732453574208e-28,6.957553410746682e-29,4.006217499775377e-15,1.3014833443314664e-27,-2.886783008749843e-28,1.8481085983997415e-28,1.2501517466508702e-28,-1.4050889899249367e-28,-3.609180215485112e-29,-7.475888851722671e-29,-1.6073176544636785e-29,-3.0889356634241324e-29
1.2522096838587553e-16,-2.623745869731775e-29,-1.5130239791553453e-16,1.174390820913122e-15,-1.6437480979569282e-28,-7.283063041541013e-16,1.0,5.063042408726643e-30,4.265403639928494e-16,1.2189448957597838e-28,7.203505424408652e-29,4.1063729372697705e-15,1.3642202265754094e-27,-3.0954835002624797e-28,1.699828995465753e-28,1.5042363792164658e-28,-1.3637083733135257e-28,-4.1819732098683543e-29,-8.326170404929602e-29,-4.1463829672160966e-29,-2.9026771980019955e-29
1.3763556902255498e-16,-2.7959442526017245e-29,-1.5872304966645882e-16,1.261252175009476e-15,-1.749854523384304e-28,-7.460698725481037e-16,1.0,5.439133846512457e-30,4.474601084417808e-16,1.2895480818206816e-28,7.627784230628567e-29,4.20652837476416e-15,1.4256354058642585e-27,-3.2310412295475578e-28,4.107237178480992e-29,1.4370467530447966e-28,-1.2348296849831168e-29,5.357050908863542e-30,-1.2386229601939485e-28,-8.48681490255406e-29,2.3879443147964876e-29
1.5095111399936464e-16,-2.979391316725842e-29,-1.6632133710132315e-16,1.3522940849761356e-15,-1.8577693687096846e-28,-7.638334409421061e-16,1.0,5.8420876761061236e-30,4.688806300781841e-16,1.3643656187015169e-28,8.192645723371529e-29,4.306683812258547e-15,1.5198113123391464e-27,-2.4182415147915895e-28,-3.085702644911724e-30,8.336966992995783e-29,4.720648617351822e-29,-1.823326305791601e-29,-8.351969960272312e-29,-1.4879785810846227e-28,-5.973527999122744e-29
1.652101698951017e-16,-3.1732567313690687e-29,-1.7409726022012748e-16,1.4476148032972778e-15,-1.9622980966591652e-28,-7.815970093361085e-16,1.0,6.2749286873606344e-30,4.908019289020595e-16,1.4443875914992948e-28,8.792553885232948e-29,4.4068392497529325e-15,1.623910173837063e-27,-2.4273105325313014e-28,-4.308856652857414e-30,8.521748672147024e-29,4.6988367094450766e-29,-1.8623855936554904e-29,-8.376880347178593e-29,-1.4870240331572531e-28,-5.932070402905003e-29
1.804562858134052e-16,-3.377671752225038e-29,-1.8205081902287186e-16,1.5473125824570832e-15,-2.068049518513359e-28,-7.99360577730111e-16,1.0,6.737994938804242e-30,5.132240049134068e-16,1.5296236740073871e-28,9.398057638371948e-29,4.506994687247318e-15,1.728263609392571e-27,-2.422841252435408e-28,-5.2367196451656494e-30,8.537452614340611e-29,4.782354078559252e-29,-1.8717441522924976e-29,-8.333030596635507e-29,-1.4952170468063952e-28,-5.978855641538094e-29
1.967339933827559e-16,-3.594296211892548e-29,-1.9018201350955625e-16,1.6514856749397323e-15,-2.1967495085629162e-28,-8.171241461241134e-16,1.0,7.244008150504503e-30,5.361468581122259e-16,1.6199919403416523e-28,1.036063284280998e-28,4.607150124741705e-15,1.830176111997212e-27,-3.2746077333878454e-28,-3.06568223984233e-29,1.1925425716373464e-28,7.075859228070074e-29,-2.535718646738788e-29,-6.922084931277797e-29,-1.5670945199200154e-28,-5.039989809517719e-29
2.140888067564764e-16,-3.8244191290370086e-29,-1.9849084368018068e-16,1.760232333229402e-15,-2.3316024896172614e-28,-8.348877145181158e-16,1.0,7.802892239290282e-30,5.595704884985169e-16,1.716512544909917e-28,1.1414443782479528e-28,4.707305562236088e-15,1.962199545220622e-27,-4.0517610077830235e-28,2.2811410803878224e-30,1.0581106336274482e-28,3.15884176519797e-29,-1.2388719081100581e-28,-1.93610182962e-28,-9.075407748860057e-29,-1.2162717528208466e-29
2.325672226127311e-16,-4.068215977485514e-29,-2.0697730953474513e-16,1.8736508098102788e-15,-2.46917033584487e-28,-8.526512829121182e-16,1.0,8.414289158415709e-30,5.834948960722799e-16,1.8200867268717795e-28,1.2464723184245205e-28,4.807460999730471e-15,2.1033007225266756e-27,-4.079210851937336e-28,1.661317824269081e-30,1.0857853573940125e-28,3.261305707048414e-29,-1.2288966234978864e-28,-1.9700591801856372e-28,-9.111173330205012e-29,-9.794662893701402e-30
2.522167201545264e-16,-4.3259925871987885e-29,-2.1564141107324958e-16,1.9918393571665475e-15,-2.609543287663932e-28,-8.704148513061206e-16,1.0,9.078827504674898e-30,6.07920080833515e-16,1.9305513606793222e-28,1.353269427529415e-28,4.907616437224855e-15,2.239746158947167e-27,-4.196108664387219e-28,3.8986469798742765e-30,1.050520849562537e-28,3.4542874719975557e-29,-1.1175234044437687e-28,-1.8117238107803382e-28,-9.759848889727498e-29,-1.2243615813232135e-29
